ID,NAME,DIFFICULTY,CARDIO,BULK,STRETCH,PROGRESSION,BICEP,TRICEP,ARM,ABS,CHEST,BACK,CALVES,LEGS,AVG. TIME,AVG. REPS
99,Superman Plank,6,3,8,0,5,0,0,3,9,0,0,0,0,15,7
100,Plank side rolls,4,7,6,0,3,0,0,4,8,0,0,0,0,20,12
101,High knee taps,1,8,0,0,0,0,0,0,3,0,0,4,4,25,50
102,One leg quick jump,1,8,0,0,0,0,0,0,3,0,0,8,4,20,40
103,Jab – shadow box,1,8,0,0,0,0,0,6,4,0,0,3,3,30,30
104,Kick+punches (combinations),5,9,2,4,4,0,0,5,5,0,0,3,4,30,50
105,Punch+duck (combinations),3,8,0,0,0,0,0,3,5,0,0,3,4,30,25
106,Circular leg lifts (lying),5,6,6,0,3,0,0,0,7,0,0,0,0,20,7
107,Circular leg lifts (hanging),7,4,8,3,3,0,0,0,9,0,0,0,0,20,7
108,Planche lean,7,0,7,0,8,0,4,8,6,7,3,0,0,15,5
109,Planche lean +dead lean ext.,8,0,8,0,8,0,4,9,6,8,3,0,0,12,3
110,Tuck planche,7,0,7,0,8,0,4,9,6,6,5,0,0,15,5
111,Adv. Tuck planche,8,0,8,0,9,0,4,10,8,6,5,0,0,12,4
112,Tuck planche push up,8,0,8,0,8,0,5,9,7,7,4,0,0,15,5
113,Adv. Tuck planche push up,9,0,9,0,10,0,6,10,7,7,4,0,0,12,4
114,Tuck planche into Adv. Extension,8,0,8,0,9,0,5,9,7,6,4,0,0,15,5
115,"L-sit to Adv, tuck planche",9,0,9,0,9,0,8,10,10,7,5,0,0,15,5
116,Decline planche lean,8,0,8,0,8,0,4,9,7,5,4,0,0,20,7
117,Planche lean – legs on vertical wall,9,0,10,0,9,0,7,10,9,5,5,0,0,12,4
118,Tuck planche into Straddle planche,10,0,10,0,10,0,7,10,9,5,4,0,0,15,5
119,Straddle planche (hold/tries),11,0,11,0,11,0,7,11,10,5,4,0,0,10,3
120,L-sit to Straddle planche,11,0,11,0,11,0,9,11,11,5,4,0,0,12,3
121,Straddle planche push up,12,0,12,0,12,0,9,12,10,8,5,0,0,10,3
122,Planche,13,0,13,0,13,0,8,13,11,6,4,0,0,10,3
123,Planche push up,13,0,13,0,13,0,9,13,11,9,4,0,0,10,3
124,Maltese planche up,14,0,14,0,14,0,10,14,12,10,7,0,0,10,3
125,L-sit to handstand,9,0,9,0,10,0,8,9,10,4,3,0,0,15,3
126,Press to handstand,10,0,10,6,11,0,7,10,8,3,3,0,0,15,3
127,Declined pike push up,8,3,9,5,8,0,5,9,4,6,3,0,0,20,6
128,Lunges,3,7,7,0,0,0,0,0,0,0,0,2,8,25,10
129,Lunges + calve raise,3,7,7,0,0,0,0,0,0,0,0,8,8,30,10
130,Jump squat,6,10,8,0,8,0,0,0,0,0,0,4,9,20,8
131,Assisted pistol squat,7,5,9,0,8,0,0,0,0,0,0,3,9,18,7
132,Pistol squat,9,5,10,0,10,0,0,0,0,0,0,4,10,12,3
133,Front jump,5,8,9,0,5,0,0,0,0,0,0,3,9,20,7
134,Vertical jump,5,8,9,0,5,0,0,0,0,0,0,4,9,20,7
135,One leg bend over + high reach,4,8,9,0,5,0,0,0,5,0,0,8,7,25,10
